Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Material Type,Experimental Condition [Genotype],Characteristics [Developmental Stage],Assay Name,Comment [Image File Comments],Comment [Image File Type],Channels
TimEmbryos-102219-HybCycle_0,MMStack_Pos26.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos26,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos26.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos26,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos27.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos27,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos27.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos27,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos27.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos27,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos28.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos28,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos28.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos28,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos28.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos28,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos29.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos29,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos29.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos29,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos29.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos29,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos3.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos3,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos3.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos3,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos30.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos30,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos30.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos30,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos30.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos30,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos31.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos31,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos31.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos31,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos31.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos31,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos32.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos32,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos32.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos32,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos32.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos32,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos33.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos33,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos33.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos33,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos33.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos33,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos34.ome.zarr [0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos34,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos34.ome.zarr [labels/cells/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos34,HybCycle_0,raw,A647; A488; Cy3B; DAPI
TimEmbryos-102219-HybCycle_0,MMStack_Pos34.ome.zarr [labels/nuclei/0],Mus musculus,NCBITaxon,NCBITaxon_10090,C57BL/6J,EFO,EFO_0000606,embryo,WT,E8.5,TimEmbryos-102219-Pos34,HybCycle_0,raw,A647; A488; Cy3B; DAPI
